bacteria,patient_no,saliva,tongue,subgingival,supragingival,interdental
universal,1,4060000000,273000000,119000000,49100000,514500000
universal,2,5105000000,341000000,22400000,230000000,218000000
universal,3,2405000000,124500000,534000000,437500000,1080000000
universal,4,588500000,38550000,166500000,271500000,28400000
universal,5,719000000,228500000,33850000,125000000,31350000
universal,6,1400000000,307500000,203000000,867500000,462500000
universal,7,749500000,336000000,215000000,210500000,1090000000
universal,8,2030000000,2370000000,23050000,485000000,644000000
universal,9,1200000000,635000000,298500000,292500000,761500000
universal,10,1470000000,72000000,195500000,954000000,897500000
universal,11,2770000000,100700000,98750000,195500000,466000000
universal,12,4235000000,202500000,165000000,3445000000,1890000000
universal,13,3155000000,575000000,413500000,1330000000,1715000000
universal,14,2195000000,642000000,91350000,253500000,279000000
universal,16,1980000000,159500000,46500000,178500000,204500000
universal,17,1175000000,348000000,129500000,508000000,56400000
universal,18,1189500000,273000000,151500000,775500000,214500000
universal,19,3285000000,504000000,488000000,810000000,286500000
universal,20,5805000000,661500000,442000000,419500000,540000000
universal,22,5740000000,742500000,402000000,1665000000,398500000
universal,23,2695000000,748500000,496500000,1610000000,1175000000
universal,24,2980000000,509000000,95450000,621000000,509500000
universal,25,2625000000,621500000,457500000,1485000000,822000000
universal,26,5345000000,782000000,75400000,492500000,893500000
universal,27,29800000000,6065000000,1900000000,7030000000,6440000000
universal,28,29200000000,1735000000,4315000000,2250000000,1430000000
universal,29,17700000000,2395000000,166500000,1935000000,5430000000
universal,30,20850000000,4455000000,1515000000,5105000000,2090000000
universal,31,19800000000,3320000000,793500000,14000000000,5990000000
universal,32,3625000000,339500000,115500000,422000000,248000000
universal,33,16800000000,232000000,74750000,499500000,891500000
universal,34,6955000000,68650000,419500000,1060000000,585000000
universal,36,2700000000,248000000,192500000,827500000,352500000
universal,38,2340000000,493500000,76050000,565500000,236000000
universal,39,4060000000,174500000,258000000,939500000,497000000
universal,40,14650000000,992000000,149500000,946000000,1498500000
universal,41,15650000000,536000000,n/a,459000000,538500000
universal,42,12350000000,153000000,205500000,165500000,1270000000
universal,43,18300000000,386000000,309500000,66250000,1135000000
universal,44,8935000000,17900000,187500000,7460000,26400000
universal,45,25650000000,1135000000,40750000,452500000,3755000000
universal,46,58300000000,952000000,34550000,1081500000,1613000000
universal,47,25850000000,1089500000,152500000,338500000,410500000
universal,48,83800000000,152950000,283000000,1011000000,360000000
universal,49,58600000000,2195000000,325000000,2920000000,2810000000
universal,50,6950000000,682500000,560000000,998500000,798000000
universal,51,8035000000,742500000,487000000,531500000,485500000
universal,52,10885000000,397000000,102250000,783000000,359000000
universal,53,6145000000,944000000,571000000,2390000000,2335000000
universal,54,14750000000,577000000,515000000,855000000,1415000000
universal,55,1370000000,475000000,351000000,416000000,527500000
universal,56,11200000000,769000000,414000000,413000000,850500000
universal,58,8555000000,741500000,336000000,705500000,333500000
universal,59,1330000000,48800000,45550000,84150000,38050000
universal,62,4705000000,640500000,77600000,735500000,681500000
universal,63,8360000000,226500000,373500000,1525000000,790000000
universal,64,2095000000,245000000,413000000,1455000000,1475000000
universal,65,7425000000,170500000,761500000,431500000,757000000
universal,66,7000000000,356500000,371500000,820000000,438000000
universal,67,7100000000,1545000000,727500000,1375000000,1665000000
universal,68,865500000,25900000,13800000,41600000,81850000
universal,69,95200000,22750000,20100000,129500000,60550000
universal,70,NA,53850000,210500000,228500000,158500000
universal,71,4210000000,54450000,102800000,601000000,604000000
universal,72,3725000000,167500000,28650000,703000000,423500000
universal,73,890000000,88400000,530000000,1200000000,260000000
universal,74,1885000000,232000000,49700000,265000000,226000000
universal,75,2650000000,121500000,45300000,156500000,62650000
universal,76,521500000,33200000,8710000,90050000,29050000
universal,77,90100000,10200000,13050000,64500000,67200000
universal,78,772500000,10390000,5990000,513000000,324000000
universal,79,452500000,5100000,12800000,439000000,197000000
universal,80,1370000000,4900000,17950000,686000000,826500000
universal,81,1225000000,74900000,19350000,555000000,345500000
universal,82,2785000000,94300000,129500000,869500000,1030000000
universal,83,1885000000,524500000,87300000,471000000,609500000
universal,84,2925000000,448000000,31150000,619000000,332000000
universal,85,5270000000,432000000,219000000,1125000000,1385000000
universal,86,2095000000,195000000,28750000,206000000,644500000
universal,87,2830000000,13900000,81850000,969000000,273000000
universal,88,1845000000,18950000,26300000,497000000,1105000000
universal,89,NA,NA,NA,NA,NA
universal,90,2180000000,133500000,28300000,347500000,497000000
universal,91,1940000000,132000000,157500000,521500000,583500000
universal,92,2325000000,36850000,92050000,990000000,880000000
universal,93,4205000000,19450000,33850000,813500000,449000000
universal,94,1515000000,102600000,51300000,128000000,664000000
universal,95,15150000000,1160000000,322500000,1004000000,1240000000
universal,96,NA,NA,NA,NA,NA
universal,97,8730000000,172500000,120500000,858500000,627500000
universal,98,3975000000,126500000,82500000,133000000,475000000
Tforsythia,1,0,0,1130000,708500,6195000
Tforsythia,2,0,0,0,0,0
Tforsythia,3,29800000,277000,11400000,2625000,16100000
Tforsythia,4,0,0,5105000,1270000,17750
Tforsythia,5,0,0,23900,138500,586500
Tforsythia,6,0,0,1310000,1545000,9990000
Tforsythia,7,0,0,0,0,0
Tforsythia,8,0,0,70900,2760000,10600000
Tforsythia,9,0,0,4650000,1145000,35600000
Tforsythia,10,0,0,0,67450,722500
Tforsythia,11,0,0,0,0,4155000
Tforsythia,12,0,0,0,27950000,7935000
Tforsythia,13,0,0,0,0,14400000
Tforsythia,14,0,0,0,0,0
Tforsythia,16,0,0,0,0,0
Tforsythia,17,0,30250,0,0,55200
Tforsythia,18,0,0,0,1890000,3780000
Tforsythia,19,0,0,6440000,6025000,3950000
Tforsythia,20,0,0,0,0,1865000
Tforsythia,22,0,0,0,0,622000
Tforsythia,23,0,0,0,0,11300000
Tforsythia,24,0,0,80850,804500,2185000
Tforsythia,25,0,0,1055000,1680000,48850
Tforsythia,26,0,0,12800,0,486000
Tforsythia,27,0,0,2980000,1605000,3600000
Tforsythia,28,0,0,0,0,0
Tforsythia,29,62.45,29.09,73.85,241.3,12.02
Tforsythia,30,37550,0,666.65,33300,655200
Tforsythia,31,0,0,0,0,0
Tforsythia,32,6390000,83000,653500,527500,400500
Tforsythia,33,844500,0,34550,123750,4095000
Tforsythia,34,5675000,0,6800000,1310000,333500
Tforsythia,36,0,0,0,0,0
Tforsythia,38,288000,3075,28400,96600,1200000
Tforsythia,39,48000,0,236000,683500,200000
Tforsythia,40,0,0,0,0,0
Tforsythia,41,2215000,0,0,0,1915000
Tforsythia,42,544000,0,8090,0,627500
Tforsythia,43,119700,0,0,0,17200
Tforsythia,44,0,0,0,0,0
Tforsythia,45,872500,5730,46050,163500,10625000
Tforsythia,46,14085000,15500,576500,202000,7085000
Tforsythia,47,1535000,10635,262500,481500,1970000
Tforsythia,48,14700000,6280,602500,273000,3840000
